3281,3353,2
2131,3194,4
3318,1531,3
1481,1924,4
1899,2987,3
2476,40,4
3836,1525,4
3787,1932,5
3411,3840,5
3673,2330,5
455,3127,4
1583,2299,4
3666,2540,5
316,2850,4
1086,343,3
317,1504,3
2373,351,4
197,1576,3
968,378,2
2419,259,4
3099,563,3
560,2524,4
3516,1046,4
4003,3960,6
1078,1355,2
3339,321,4
3364,1653,3
1992,1158,4
1655,1389,2
1711,3786,4
2814,143,3
3310,2174,4
3262,3047,2
2934,1957,4
420,3885,3
800,1329,5
2330,1105,3
462,1078,3
418,2789,4
1271,3320,3
885,3851,3
645,3241,4
3260,666,4
3672,3219,5
1978,1165,3
3267,393,4
765,3883,4
3198,205,4
1035,3715,4
3347,830,4
2931,1583,3
1710,3187,3
1592,3260,3
3848,558,4
3891,2441,5
3042,2054,4
2461,3710,5
2701,2005,4
1014,1394,2
3787,38,5
1334,2135,3
515,1471,3
1443,2809,3
3243,2798,2
433,1810,3
559,2172,3
1692,195,3
1669,2164,4
3536,1103,4
722,792,2
1829,2654,4
3606,1229,4
1505,2800,2
1799,1708,2
2794,438,4
2889,568,4
3967,1229,4
3732,2370,5
1447,2689,3
2028,51,4
2976,2790,2
3522,921,4
3546,3867,2
3528,1277,4
3905,3826,2
2305,119,4
1047,2710,3
806,2114,7
2225,1768,4
506,1507,3
464,486,2
2477,3602,5
1960,3672,5
1618,3176,3
2011,3317,4
2877,2142,4
1284,339,3
2154,1544,4
499,3476,4
3311,545,4
3579,604,3
1568,2865,3
1726,2031,3
907,1157,2
2195,3297,4
1316,1054,2
570,2834,4
80,1406,3
2439,1161,4
2057,293,4
695,1027,6
1816,3170,3
1448,2915,3
1069,561,3
207,1346,3
2001,244,3
564,974,3
3654,1153,4
3033,1539,3
1331,2322,4
3214,1378,3
542,3110,4
298,2432,4
110,2455,4
3081,1166,3
2026,660,4
801,3542,4
2901,1985,4
1302,800,5
419,2917,4
2049,709,7
450,3018,4
1430,3432,3
1542,853,6
3959,2455,5
3313,2795,2
1735,1534,2
3368,671,4
1917,407,3
1689,2214,4
3741,2289,4
208,2198,4
959,2444,4
471,3943,3
790,840,2
3162,3490,5
3901,137,5
1169,3210,3
3347,3158,2
1879,2324,4
1590,2176,2
3469,382,4
3913,2019,5
1671,1961,4
365,2146,4
934,2832,3
585,3715,4
3287,2485,4
1611,1906,2
1209,1244,2
535,1304,3
2472,1068,3
684,1656,3
1983,3356,4
1040,2277,4
3093,894,4
2213,3842,5
1471,346,3
1487,3099,3
2892,202,4
1418,2401,4
1119,2273,3
3232,1019,3
1294,1162,2
4023,2356,5
1006,1649,2
3971,3551,2
339,1702,3
2913,1472,3
1782,119,3
1910,1194,2
232,3243,4
2215,3956,5
3564,2548,5
3585,33,5
2227,2880,4
2847,669,4
308,2731,4
3703,1387,4
189,2179,4
3140,2206,4
322,3749,5
3777,2634,5
739,146,7
3389,3600,5
2294,2216,2
2257,1912,1
3612,835,4
3627,1177,4
2757,1575,3
826,1398,6
297,3208,4
2096,2055,2
827,2356,7
3611,437,4
3563,2756,5
1247,1994,3
40,683,4
190,1112,3
1576,3493,4
2483,1809,4
3281,1429,3
1836,118,3
1179,1423,2
1130,3054,3
578,1510,3
1229,970,2
3251,2918,2
1056,2010,3
1191,449,3
3425,739,5
3182,2143,4
2133,1969,2
3583,1847,3
4030,3486,6
874,52,6
1895,2970,3
2131,1672,4
2550,1665,4
3529,3576,2
3959,3137,5
3909,456,3
2894,2292,4
600,2642,4
454,974,3
294,2471,3
179,2441,4
1275,3924,4
859,2620,6
1909,3667,4
774,845,2
2565,1548,4
3216,2704,2
3759,2456,5
3378,57,4
1081,3151,3
926,2512,3
1578,2484,4
2608,3585,5
649,887,5
3310,1461,3
693,3642,4
4024,481,5
2168,1373,4
3001,3776,5
589,393,3
2354,3590,5
1152,1761,2
1195,2501,3
581,1003,3
3208,3792,5
493,3571,4
2413,471,3
608,3797,4
1351,2084,4
2180,2691,4
3632,1476,4
1053,1141,2
2900,3183,2
1349,1442,2
2938,50,4
706,723,2
2018,1272,4
1955,317,3
1397,2937,3
3329,1323,3
2487,1258,4
2440,3764,5
3139,1275,3
1921,3745,5
3141,170,4
1822,2463,3
547,3995,5
4019,2075,5
2494,1921,2
2130,59,4
1027,3889,4
3675,1616,4
443,4007,5
2960,1642,2
1605,1673,2
1029,3290,2
1939,1424,4
3601,2611,5
86,3107,4
1826,1180,1
1460,3814,4
2772,971,3
1202,3708,4
1313,3190,3
2518,219,4
218,1637,3
1229,1393,2
1669,2669,3
427,1322,3
658,2466,4
1040,4014,5
1048,2747,3
2487,3996,5
3578,2759,5
3941,70,5
3766,1246,4
3132,3002,2
2441,484,3
2162,1672,4
3739,2411,5
3367,3832,5
2101,2685,4
2447,1953,2
51,1265,3
2014,2160,2
3783,2190,5
693,2730,5
3168,1355,3
471,803,4
750,1908,6
2685,424,4
1545,2052,3
283,1455,3
30,3019,4
2823,1545,3
2397,1915,2
3817,125,5
1143,3710,4
3356,275,4
1485,3712,4
1762,965,2
3899,2621,5
3528,2041,5
987,271,3
4008,3731,6
282,1554,3
3913,3493,2
1586,124,3
3152,983,3
1664,2861,3
1728,732,6
2741,2689,2
1607,3252,3
1426,1154,2
2145,1313,3
788,1647,6
3950,1780,4
1336,2287,4
431,2609,3
1601,1719,2
2686,2644,4
1040,3582,4
3846,3535,2
40,297,2
674,141,4
711,3170,5
3560,1790,4
3962,2541,5
393,3022,4
656,2307,4
3859,1309,4
3202,2281,4
3174,2601,4
2172,3356,4
816,2512,7
3930,3867,2
1904,2286,4
1712,715,6
2629,2829,4
1015,2176,3
757,3013,5
1499,2341,4
982,2845,3
2348,239,4
1971,685,4
3030,2312,4
1317,906,2
2150,409,4
2797,3859,5
3636,1982,5
1268,3532,4
579,1894,3
1352,3510,4
2737,1320,3
572,2672,4
353,2135,3
865,667,5
3645,2711,5
1454,1321,2
847,640,6
3250,2967,2
3979,3937,2
2392,1932,2
198,2757,4
3558,2483,5
1353,2980,3
595,589,2
2138,1823,3
3360,2945,2
1429,901,2
1576,140,3
810,1987,6
2940,1673,3
22,282,2
3458,1831,4
1869,2437,4
2926,3621,5
1451,1123,2
2689,2895,2
757,1962,7
3475,1284,4
1051,337,3
2856,170,4
3179,3338,2
3627,2544,5
253,3292,4
39,2654,4
2814,11,3
2909,2373,4
123,3539,5
633,3003,4
2725,3142,2
3934,2954,5
3754,2545,5
873,2090,6
876,3553,3
2018,441,4
2980,685,4
2325,2421,2
2131,463,3
3049,3612,5
1587,716,6
3417,1067,3
2909,2102,4
2850,3342,2
309,1585,3
1935,3386,4
1188,1996,4
1709,2719,3
1572,3659,4
3154,799,5
3041,1826,3
1617,696,6
1104,801,6
2025,287,4
